James	4,663,035	Mary	3,124,584
2	Robert	4,407,377	Patricia	1,555,054
3	John	4,403,862	Jennifer	1,469,031
4	Michael	4,340,931	Linda	1,448,283
5	David	3,564,313	Elizabeth	1,411,916
6	William	3,524,670	Barbara	1,391,959
7	Richard	2,439,835	Susan	1,103,018
8	Joseph	2,317,860	Jessica	1,047,000
9	Thomas	2,143,281	Sarah	989,810
10	Charles	2,060,835	Karen	986,072
11	Christopher	2,044,437	Lisa	965,015
12	Daniel	1,900,488	Nancy	963,833
13	Matthew	1,614,109	Betty	906,997
14	Anthony	1,407,623	Margaret	892,334
15	Mark	1,348,322	Sandra	873,655
16	Donald	1,323,467	Ashley	851,020
17	Steven	1,283,686	Kimberly	841,144
18	Paul	1,263,912	Emily	835,442
19	Andrew	1,255,723	Donna	821,223
